U0001F600,face grin
U0001F601,eye face grin smile
U0001F602,face joy laugh tear
U0001F923,face floor laugh lol rofl rolling
U0001F603,face mouth open smile
U0001F604,eye face mouth open smile
U0001F605,cold face open smile sweat
U0001F606,face laugh mouth open satisfied smile
U0001F609,face wink
U0001F60A,blush eye face smile
U0001F60B,delicious face savouring smile um yum
U0001F60E,bright cool eye eyewear face glasses smile sun sunglasses weather
U0001F60D,eye face heart love smile
U0001F618,face heart kiss
U0001F617,face kiss
U0001F619,eye face kiss smile
U0001F61A,closed eye face kiss
U0000263A,face outlined relaxed smile
U0001F642,face smile
U0001F917,face hug hugging
U0001F914,face thinking
U0001F610,deadpan face neutral
U0001F611,expressionless face inexpressive unexpressive
U0001F636,face mouth quiet silent
U0001F644,eyes face rolling
U0001F60F,face smirk
U0001F623,face persevere
U0001F625,disappointed face relieved whew
U0001F62E,face mouth open sympathy
U0001F910,face mouth zipper
U0001F62F,face hushed stunned surprised
U0001F62A,face sleep
U0001F62B,face tired
U0001F634,face sleep zzz
U0001F60C,face relieved
U0001F913,face geek nerd
U0001F61B,face tongue
U0001F61C,eye face joke tongue wink
U0001F61D,eye face horrible taste tongue
U0001F924,drooling face
U0001F612,face unamused unhappy
U0001F613,cold face sweat
U0001F614,dejected face pensive
U0001F615,confused face
U0001F643,face upside-down
U0001F911,face money mouth
U0001F632,astonished face shocked totally
U00002639,face frown
U0001F641,face frown
U0001F616,confounded face
U0001F61E,disappointed face
U0001F61F,face worried
U0001F624,face triumph won
U0001F622,cry face sad tear
U0001F62D,cry face sad sob tear
U0001F626,face frown mouth open
U0001F627,anguished face
U0001F628,face fear fearful scared
U0001F629,face tired weary
U0001F62C,face grimace
U0001F630,blue cold face mouth open rushed sweat
U0001F631,face fear fearful munch scared scream
U0001F633,dazed face flushed
U0001F635,dizzy face
U0001F621,angry face mad pouting rage red
U0001F620,angry face mad
U0001F607,angel face fairy tale fantasy halo innocent smile
U0001F920,cowboy cowgirl face hat
U0001F921,clown face
U0001F925,face lie pinocchio
U0001F637,cold doctor face mask medicine sick
U0001F912,face ill sick thermometer
U0001F915,bandage face hurt injury
U0001F922,face nauseated vomit
U0001F927,face gesundheit sneeze
U0001F608,face fairy tale fantasy horns smile
U0001F47F,demon devil face fairy tale fantasy imp
U0001F479,creature face fairy tale fantasy japanese monster ogre
U0001F47A,creature face fairy tale fantasy goblin japanese monster
U0001F480,body death face fairy tale monster skull
U00002620,body crossbones death face monster skull
U0001F47B,creature face fairy tale fantasy ghost monster
